,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
70,NA,TPG1583,393401,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668250,Acrocephalidae,Nesillas,typica,Y,Fianarantsoa,-22.15,47.02,Nesillas_typica_FMNH393401_COI
71,NA,FMNH363856,363856,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1638671,Vangidae,Newtonia,amphichroa,Y,Fianarantsoa,-22,47.02,Newtonia_amphichroa_FMNH363856_COI
72,NA,FMNH436447,436447,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711172,Vangidae,Newtonia,archboldi,Y,Toliara,-22.8,43.43,Newtonia_archboldi_FMNH436447_COI
73,NA,FMNH436437,436437,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711162,Vangidae,Newtonia,brunneicauda,Y,Toliara,-22.77,43.52,Newtonia_brunneicauda_FMNH436437_COI
74,NA,384667,384667,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659519,Numididae,Numida,meleagris,,Toliara,-22.68,44.82,Numida_meleagris_FMNH384667_COI
75,NA,396238,396238,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671087,Columbidae,Oena,capensis,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.54,45.38,Oena_capensis_FMNH396238_COI
76,NA,FMNH356684,356684,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631502,Vangidae,Oriolia,bernieri,Y,Toamasina,-15,49.93,Oriolia_bernieri_FMNH356684_COI
77,NA,MJR1217,MJR1217,UADBA,8/12/24,,Strigidae,Otus,rutilus,Y,,-15.56,50.28,Otus_rutilus_UADBAMJR1217_COI
78,NA,FMNH396172,396172,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671021,Bernieridae,Oxylabes,madagascariensis,Y,Antsiranana,-14,48.43,Oxylabes_madagascariensis_FMNH396172_COI
81,NA,DW5317,431191,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705920,Philepittidae,Philepitta,schlegeli,Y,Toliara,-19.13,44.8,Philepitta_schlegeli_FMNH431191_COI
82,NA,SMG10756,396113,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670962,Ploceidae,Ploceus,nelicourvi,Y,Antsiranana,-14,48.43,Ploceus_nelicourvi_FMNH396113_COI
83,NA,SMG4123,352987,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627804,Ploceidae,Ploceus,sakalava,Y,Toliara,-24,46.52,Ploceus_sakalava_FMNH352987_COI
85,NA,487452,487452,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/2386917,Pteroclidae,Pterocles,personatus,Y,Mahajanga,-14.75,48.1,Pterocles_personatus_FMNH487452_COI
87,NA,384801,384801,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659653,Hirundinidae,Riparia,paludicola,,Fianarantsoa,-22.18,46.9,Riparia_paludicola_FMNH384801_COI
88,NA,393178,393178,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668027,Rostratulidae,Rostratula,benghalensis,,Toamosina,-17.29,49.41,Rostratula_benghalensis_FMNH393178_COI
89,NA,384729,384729,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659581,Rallidae,Sarothrura,insularis,Y,Antsiranana,-12.58,49.15,Sarothrura_insularis_FMNH384729_COI
90,NA,TPG1582,393333,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Muscicapidae,Saxicola,torquata,,Fianarantsoa,-22.15,47.02,Saxicola_torquata_FMNH393333_COI
91,NA,FMNH436519,436519,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711243,Vangidae,Schetba,rufa,Y,Mahajanga,-16.43,45.4,Schetba_rufa_FMNH436519_COI
92,NA,384663,384663,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659515,Podicipedidae,Tachybaptus,pelzelnii,Y,Toliara,-22.45,44.83,Tachybaptus_pelzelnii_FMNH384663_COI
94,NA,FMNH436460,436460,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711185,Monarchidae,Terpsiphone,mutata,N - WEST INDIAN ISLANDS,Toliara,-22.77,43.52,Terpsiphone_mutata_FMNH436460_COI
95,NA,MJR0554,MJR0554,UADBA,8/12/24,,Bernieridae,Thamnornis,chloropetoides,Y,,-20.94,43.87,Thamnornis_chloropetoides_UADBAMJR0554_COI
96,NA,360039,360039,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1634857,Scolopacidae,Tringa,nebularia,,Toamasina,-18.75,47.52,Tringa_nebularia_FMNH360039_COI
97,NA,436420,436420,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711145,Turnicidae,Turnix,nigricollis,Y,Toliara,-22.77,43.52,Turnix_nigricollis_FMNH436420_COI
98,NA,FMNH393163,393163,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668012,Vangidae,Tylas,eduardi,Y,Toliara,-22.68,44.19,Tylas_eduardi_FMNH393163_COI
99,NA,363792,363792,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1638607,Tytonidae,Tyto,soumagnei,Y,Antsiranana,-14.68,49.65,Tyto_soumagnei_FMNH363792_COI
100,NA,SMG4096,352820,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Upupidae,Upupa,epops,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.15,47.02,Upupa_epops_FMNH352820_COI
